"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\scripts\protego.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 3, 10
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\scripts\signup.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\signup.html", "HTML", 82, 0, 0, 0, 0, 0, 12, 13, 107
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\images\groupomania_social.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\images\icon-above-font.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\images\icon-left-font-monochrome-black.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\images\icon-left-font-monochrome-white.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\images\icon-left-font.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\images\icon.svg", "XML", 0, 0, 0, 0, 0, 31, 1, 1, 33
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\main.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\accueil.scss", "SCSS", 0, 0, 0, 0, 70, 0, 0, 11, 81
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\createpost.scss", "SCSS", 0, 0, 0, 0, 85, 0, 0, 7, 92
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\headernav.scss", "SCSS", 0, 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\logform.scss", "SCSS", 0, 0, 0, 0, 341, 0, 9, 46, 396
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\post.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\profile.scss", "SCSS", 0, 0, 0, 0, 117, 0, 0, 12, 129
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\settings.scss", "SCSS", 0, 0, 0, 0, 122, 0, 0, 19, 141
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\sass\variables.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Daem0\Documents\Cours_OC\P7\Groupomania\frontend\style\style.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"Total", "-", 480, 6842, 1540, 1, 792, 36, 166, 398, 10255
